Crime type,Easting,Northing
Other crime,333162,105555
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Anti-social behaviour,375118,164658
Anti-social behaviour,375118,164658
Other crime,353991,116705
Other crime,353991,116705
Vehicle crime,353991,116705
Other crime,353991,116705
Anti-social behaviour,353991,116705
Anti-social behaviour,344019,109865
Other crime,365496,180844
Vehicle crime,360369,167074
Vehicle crime,354724,173374
Vehicle crime,354724,173374
Anti-social behaviour,355542,172894
Other crime,364403,170877
Other crime,364403,170877
Anti-social behaviour,364403,170877
Anti-social behaviour,357958,174089
Anti-social behaviour,357958,174089
Anti-social behaviour,357958,174089
Other crime,364900,173255
Other crime,370746,181263
Anti-social behaviour,370746,181263
Anti-social behaviour,370746,181263
Anti-social behaviour,370746,181263
Anti-social behaviour,370746,181263
Anti-social behaviour,370746,181263
Anti-social behaviour,354387,184308
Robbery,363182,174994
Violent crime,363182,174994
Other crime,363182,174994
Other crime,363182,174994
Anti-social behaviour,363182,174994
Anti-social behaviour,330578,148803
Other crime,360588,173763
Burglary,370309,176181
Burglary,370309,176181
Anti-social behaviour,370309,176181
Burglary,370485,174633
Other crime,370485,174633
Other crime,333596,161533
Other crime,364525,175613
Burglary,364525,175613
Anti-social behaviour,364525,175613
Other crime,364404,167546
Burglary,353479,117051
Violent crime,361116,169262
Anti-social behaviour,361116,169262
Anti-social behaviour,361116,169262
Anti-social behaviour,358452,171880
Violent crime,357452,168430
Violent crime,357452,168430
Other crime,357452,168430
Anti-social behaviour,357452,168430
Other crime,330504,148975
Violent crime,330504,148975
Vehicle crime,330504,148975
Anti-social behaviour,330504,148975
Anti-social behaviour,331471,146869
Anti-social behaviour,323934,126505
Anti-social behaviour,366914,177334
Anti-social behaviour,366914,177334
Other crime,332488,160580
Other crime,332488,160580
Burglary,332488,160580
Violent crime,360899,168077
Other crime,331256,137503
Violent crime,360982,172887
Violent crime,360982,172887
Violent crime,360982,172887
Other crime,363152,173355
Other crime,363152,173355
Other crime,363152,173355
Burglary,363152,173355
Anti-social behaviour,363152,173355
Anti-social behaviour,363152,173355
Anti-social behaviour,360554,169868
Burglary,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
